FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Grytebasis, med ris, meksikansk, uten kjøtt",100,83,293,69,0.8,0.1,0,0,0.06,0.02,0,0.4,0,0.35,0.4,0.34,0.04,0,0,0,0,0,0,0,0.04,0.34,0,13.3,10.7,2.6,0.1,1,1.7,1,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0,19,0.3,389,168,8,0.2,0,0,0,0
"Grytebasis, orientalsk, uten kjøtt",100,88,242,58,1.8,0.3,0,0,0.25,0.06,0,1.3,0.01,1.23,0.2,0.21,0.02,0,0,0,0,0,0,0,0.02,0.21,22,8.5,7,1.4,0.3,0,1.7,0,0,26,0,318,0,0.5,0.04,0.05,0.5,0,0,0,0,12,0.1,0,0,5,0.1,0,0,0,0
"Grytebasis, Stroganoff, uten kjøtt",100,87,258,61,1.7,0.5,0.01,0.04,0.28,0.08,0,1,0.02,0.99,0.1,0.16,0.02,0,0,0,0,0,0,0,0.02,0.16,18,8.4,5.2,3.2,0.3,0,2.9,0,0,21,1,238,0.1,0.4,0.04,0.1,0.4,0.01,1,0.3,0,71,0.1,19,81,7,0.2,0,0,53,8
"Gulrotsuppe, hjemmelaget",100,91,204,49,3.3,1.6,0.07,0.22,0.75,0.26,0.1,1.3,0.06,1.23,0.2,0.13,0.02,0,0,0,0,0,0,0,0.02,0.11,5,3.5,0.1,3.3,0,1,0.8,0.9,0,162,24,1654,0.1,0.4,0.04,0.03,0.3,0.02,6,0.1,3,26,0.1,363,93,6,0.1,0,0.02,23,6
"Hollandaisesaus, hjemmelaget",100,39,2161,525,56.4,34.2,1.56,5.2,15.63,5.75,1.5,14.3,1.3,12.21,2,1.43,0.24,0,0.01,0,0.08,0,0,0.04,0.28,1.02,261,0.9,0.1,0.7,0,0,3.3,1.5,0,491,465,317,7.5,3.1,0.03,0.08,0,0.06,20,0.7,3,35,0.9,599,61,4,0.6,10,0.03,96,26
"Hvit saus, av pulver",100,87,257,61,1.5,0.7,0.02,0.08,0.32,0.11,0,0.6,0.02,0.53,0.1,0.11,0.01,0,0,0,0,0,0,0,0.01,0.11,10,7.8,3,4.8,0,0,4.1,1,0,6,6,2,0.3,0,0.03,0.16,0.1,0.02,3,0.5,0,155,0,409,174,7,0.2,1,0,113,16
"Jordskokksuppe, hjemmelaget",100,87,307,74,4,2.5,0.12,0.39,1.12,0.4,0.1,0.9,0.09,0.79,0.2,0.11,0.03,0,0,0,0,0,0,0,0.03,0.07,9,5.5,2.3,3.2,0,1,2.4,0.5,0.6,33,32,22,0.3,0.1,0.03,0.09,0.4,0.04,7,0.3,1,70,0.2,201,171,8,0.2,1,0.04,76,10
"Kjøttbuljong, tilberedt",100,99,12,3,0.1,0,0,0,0.02,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.1,0,0.3,1.1,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1,0,440,30,2,0,0,0,0,8
"Løksuppe, gratinert med ost og brød, hjemmelaget",100,87,257,61,2.6,1.3,0.06,0.2,0.6,0.22,0.1,0.8,0.05,0.69,0.2,0.17,0.05,0,0,0,0,0,0,0,0.05,0.15,5,6.2,3.4,2.8,0.3,1,2.5,0.7,0.1,11,10,8,0.1,0.2,0.03,0.04,0.2,0.03,6,0.1,1,48,0.3,299,79,10,0.4,1,0.04,55,7
"Løksuppe, hjemmelaget",100,94,126,30,1.3,0.6,0.02,0.09,0.28,0.1,0,0.5,0.02,0.43,0.1,0.1,0.04,0,0,0,0,0,0,0,0.04,0.1,2,3.1,0.2,2.9,0.4,1,0.7,0.7,0.1,7,6,9,0.1,0.2,0.02,0.02,0.1,0.03,4,0,1,11,0.2,272,65,5,0.1,0,0.02,17,6
"Minestronesuppe, uten kjøtt, hjemmelaget",100,88,203,48,1.2,0.3,0.01,0.02,0.18,0.06,0,0.6,0.01,0.6,0.2,0.12,0.03,0,0,0,0,0,0,0,0.03,0.12,1,6.4,4.7,1.6,0.1,2,2,0.8,0,42,3,472,0,0.4,0.02,0.02,0.4,0.04,7,0,2,21,0.3,333,115,11,0.2,0,0.05,33,5
"Miso, fermentert soyabønnepasta",100,64,758,182,10.5,1.6,0,0.01,1.1,0.4,0,1.9,0.01,1.8,6.3,5.3,0.99,0,0,0,0,0,0,0,0.99,5.3,0,1.5,0.3,1.2,0,7,17.2,10.8,0,2,0,24,0,1.1,0.04,0.12,1.2,0.13,54,0,0,150,6.8,4300,930,130,2,19,0.66,250,31
