FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Geitmelk, langtidsholdbar",100,89,286,69,4.5,2.9,0.14,0.38,1.32,0.57,0.1,1.1,0.08,0.96,0.1,0.08,0.02,0,0,0,0,0,0,0,0.02,0.1,13,4,0,4,0,0,3,0,0,18,18,3,0,0.1,0.02,0.2,0.4,0.06,0,0,0,103,0.1,3,165,13,0.3,2,0.13,94,66
"Helmelk, 3,5 % fett, laktosefri",100,90,249,60,3.5,2.2,0.11,0.35,0.99,0.36,0.1,0.8,0.08,0.71,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,9,3,0,3,0,0,4,0.1,0,50,48,21,0,0.1,0.02,0.06,0.1,0.03,5,0.5,0,120,0,30,160,8,0.3,2,0,91,14
"Helmelk, 3,5 % fett, Tine",100,89,264,63,3.5,2.2,0.11,0.35,0.99,0.36,0.1,0.8,0.08,0.71,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,9,4.5,0,4.5,0,0,3.4,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.6,0,130,0,40,171,11,0.4,1,0.02,115,16
"Helmelk, 4 % fett, Q-meieriene",100,88,280,67,3.9,2.6,0.14,0.42,1.16,0.45,0.1,1,0.06,0.84,0.2,0.06,0.02,0,0,0,0,0,0,0,0.02,0.08,10,4.5,0,4.5,0,0,3.5,0.1,0,38,36,25,0,0.1,0.05,0.14,0.1,0.04,11,0.5,0,140,0,40,180,13,0.6,0,0.02,105,16
"Helmelk, 4,1 % fett, økologisk",100,88,279,67,4.1,2.7,0.15,0.47,1.18,0.38,0.1,0.9,0.09,0.71,0.1,0.07,0.02,0,0,0,0,0,0,0,0.02,0.02,11,4.5,0,4.5,0,0,3,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0,120,0,35,170,0,0,0,0,100,20
"Helmelk, uspesifisert",100,89,267,64,3.6,2.3,0.12,0.36,1.02,0.38,0.1,0.8,0.08,0.74,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.02,9,4.5,0,4.5,0,0,3.4,0.1,0,8,7,5,0,0,0.01,0.15,0,0.01,2,0.6,0,132,0,40,173,11,0.4,1,0.02,113,16
"Kaffemelk, 3,5 % fett",100,89,255,61,3.5,2.2,0.11,0.35,0.99,0.36,0.1,0.8,0.08,0.71,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,9,4.4,0,4.4,0,0,3,0.1,0,42,40,21,0,0.1,0.05,0.15,0.1,0.04,4,0.5,0,115,0,40,150,10,0.4,1,0.01,90,16
"Kakao, med lettmelk, tilberedt",100,82,338,80,1.6,1,0.02,0.07,0.43,0.34,0,0.4,0.01,0.44,0,0.04,0,0,0,0,0,0,0,0,0,0.03,2,11.7,0.4,11.3,7,1,4.2,0.1,0,3,2,3,0.3,0,0.03,0.14,0.1,0.02,4,0.5,0,129,0.4,40,303,27,0.6,1,0.15,132,15
"Lettmelk, 0,5 % fett, vitamin D, laktosefri",100,92,139,33,0.5,0.3,0.02,0.05,0.14,0.05,0,0.1,0.01,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,1,3.1,0,3.1,0,0,4,0.1,0,9,9,3,0.4,0,0.01,0.06,0.1,0.03,5,0.5,0,130,0,30,160,9,0.3,2,0,96,17
"Lettmelk, 0,5 % fett, vitamin D, Q-meieriene",100,91,158,37,0.5,0.3,0.01,0.04,0.12,0.04,0,0.1,0,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0.01,1,4.5,0,4.5,0,0,3.7,0.1,0,7,6,6,0.4,0,0.05,0.14,0.1,0.04,5,0.5,0,140,0,40,180,13,0.4,1,0.01,105,16
"Lettmelk, 0,5 % fett, vitamin D, Tine",100,92,155,37,0.5,0.3,0.02,0.05,0.14,0.05,0,0.1,0.01,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,1,4.5,0,4.5,0,0,3.5,0.1,0,0,0,0,0.8,0,0.05,0.15,0.1,0.04,4,0.6,0,130,0,42,171,10,0.4,1,0.01,115,16
"Lettmelk, 0,5 % fett, vitamin D, uspesifisert",100,91,156,37,0.5,0.3,0.02,0.05,0.13,0.05,0,0.1,0.01,0.09,0,0.01,0,0,0,0,0,0,0,0,0,0,1,4.5,0,4.5,0,0,3.6,0.1,0,2,2,2,0.7,0,0.05,0.15,0.1,0.04,4,0.6,0,133,0,41,174,11,0.4,1,0.01,112,16
"Lettmelk, 0,7 % fett, økologisk",100,92,157,37,0.7,0.5,0.03,0.08,0.2,0.07,0,0.1,0.02,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.7,0,4.7,0,0,3,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0,120,0,40,170,0,0,0,0,100,20
"Lettmelk, 1 % fett, uspesifisert",100,91,174,41,1,0.6,0.03,0.1,0.27,0.1,0,0.2,0.02,0.19,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,3.5,0.1,0,3,3,1,0,0,0.01,0.15,0,0.01,2,0.6,0,132,0,40,173,3,0.1,1,0,113,16
"Lettmelk, 1,0 % fett, laktosefri",100,92,158,37,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,3.1,0,3.1,0,0,4,0.1,0,16,16,6,0,0,0.02,0.06,0.1,0.03,5,0.5,0,120,0,30,150,9,0.3,2,0,92,17
"Lettmelk, 1,0 % fett, laktoseredusert",100,91,182,43,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,4,0.1,0,15,15,6,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,130,0,40,171,10,0.4,1,0.01,115,16
"Lettmelk, 1,0 % fett, Q-meieriene",100,91,176,42,1,0.7,0.03,0.08,0.23,0.09,0,0.2,0.01,0.17,0,0.01,0,0,0,0,0,0,0,0,0,0.02,3,4.5,0,4.5,0,0,3.7,0.1,0,15,14,7,0,0,0.05,0.14,0.1,0.04,11,0.5,0,140,0,40,180,13,0.6,3,0,105,16
"Lettmelk, 1,0 % fett, Tine",100,91,173,41,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,3.5,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.6,0,130,0,40,171,0,0,0,0,115,16
"Lettmelk, 1,2 % fett, langtidsholdbar",100,90,189,45,1.2,0.8,0.04,0.12,0.34,0.12,0,0.3,0.03,0.24,0,0.02,0,0,0,0,0,0,0,0,0,0,3,4.5,0,4.5,0,0,4,0.1,0,16,15,7,0,0,0.05,0.15,0.1,0.04,5,0.5,0,130,0,40,171,10,0.4,1,0.01,115,16
"Lettmelk, 1,2 % fett, økologisk",100,91,175,42,1.2,0.8,0.04,0.14,0.35,0.11,0,0.3,0.03,0.21,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.01,3,4.7,0,4.7,0,0,3,0.1,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0,120,0,40,170,0,0,0,0,100,20
"Lettmelk, kakao, vitamin D",100,89,201,48,1.1,0.7,0.03,0.11,0.31,0.11,0,0.3,0.03,0.22,0,0.02,0,0,0,0,0,0,0,0,0,0,3,5.3,0.9,4.4,0,0,4,0.1,0,13,13,5,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,117,0.3,40,193,16,0.5,2,0,116,16
"Lettmelk, uspesifisert",100,91,166,39,0.8,0.5,0.02,0.07,0.21,0.07,0,0.2,0.01,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.5,0,4.5,0,0,3.6,0.1,0,3,2,2,0.3,0,0.03,0.15,0.1,0.02,3,0.6,0,133,0,41,173,6,0.2,1,0,112,16
"Melk, uspesifisert",100,91,181,43,1.2,0.8,0.04,0.12,0.34,0.12,0,0.3,0.02,0.24,0,0.02,0,0,0,0,0,0,0,0,0,0.01,3,4.5,0,4.5,0,0,3.5,0.1,0,3,3,2,0.2,0,0.03,0.15,0,0.02,3,0.6,0,132,0,40,173,8,0.3,1,0.01,113,16
"Milkshake, sjokoladesmak",100,83,314,74,1.5,1,0.05,0.15,0.42,0.16,0,0.4,0.03,0.31,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.01,4,11.1,0.1,11,4.8,0,4,0.4,0,19,18,9,0,0,0.08,0.19,0.1,0.17,5,0.5,0,134,0.3,170,241,16,0.5,1,0.01,106,17
"Sjokolademelk, av pulver og lettmelk",100,85,268,63,0.9,0.5,0.02,0.07,0.24,0.13,0,0.2,0.01,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0.01,2,10,0.2,9.8,5.6,0,3.6,0.1,0,2,2,2,0.3,0,0.03,0.14,0.1,0.02,3,0.5,0,126,0.5,53,220,15,0.4,1,0.06,118,15
"Sjokolademelk, Litago",100,89,201,48,0.8,0.5,0.02,0.08,0.23,0.08,0,0.2,0.02,0.16,0,0.01,0,0,0,0,0,0,0,0,0,0,2,5.9,0.1,5.8,1.4,0,4,0.1,0,8,7,7,0.4,0,0.05,0.15,0.1,0.04,5,0.6,0,128,0.6,40,213,18,0.5,2,0.01,120,16
"Sjokolademelk, Sjokomelk",100,86,261,62,1.2,0.8,0.04,0.12,0.35,0.13,0,0.3,0.03,0.25,0,0.02,0,0,0,0,0,0,0,0,0,0,3,8.5,0.1,8.4,4.1,0,4,0.1,0,15,14,7,0,0,0.05,0.15,0.1,0.04,5,0.5,0,125,0.4,40,162,16,0.5,2,0.01,115,15
"Sjokolademelk, uten tilsatt sukker, Litago Uten",100,87,233,55,1.3,0.8,0.04,0.13,0.37,0.14,0,0.3,0.03,0.27,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.01,3,6,0.2,5.8,1.4,2,4,0.1,0,16,15,7,0,0,0.05,0.15,0.1,0.04,5,0.5,0,118,0.6,40,213,18,0.5,2,0,121,16
"Skummet melk, Styrk",100,90,167,39,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,4.6,0,0,5,0.1,0,1,1,1,0.8,0,0.02,0.2,0.1,0.04,8,0.8,0,200,0,40,190,16,0.6,3,0.01,150,21
"Skummet melk, Tine",100,92,140,33,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4.5,0,0,3.5,0.1,0,1,1,1,0,0,0.05,0.15,0.1,0.04,4,0.6,0,130,0,40,171,10,0.4,1,0.01,115,16
"Syrnet melk, blåbær, laktosefri, Biola",100,87,215,51,0.1,0,0,0.01,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0.3,9.1,5.3,0,3,0.1,0,1,1,1,0.8,0,0.04,0.13,0.1,0.03,4,0.4,1,116,0.1,40,155,11,0.4,2,0.01,78,16
"Syrnet melk, blåbær, mager, Biola",100,88,209,49,0.1,0,0,0.01,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,9.1,4.8,0,3,0.1,0,1,1,1,0.8,0,0.04,0.13,0.1,0.03,4,0.4,1,116,0.1,40,155,11,0.4,2,0.01,78,16
"Syrnet melk, blåbær/bringebær, BioQ",100,85,239,56,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,10.3,5,1,2.9,0.2,0,3,2,17,0,0,0.06,0.13,0.1,0.04,7,0.2,1,96,0,90,154,11,0.3,1,0,80,13
"Syrnet melk, bringebær, Biola",100,88,215,51,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0.2,9.2,4.6,0,3,0.1,0,0,0,1,0.8,0,0.04,0.13,0.1,0.04,4,0.4,1,100,0.1,40,160,12,0.4,2,0.01,80,12
"Syrnet melk, jordbær, Biola",100,87,220,52,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0.3,9.4,4.8,0,3,0.1,0,0,0,1,0.8,0,0.04,0.13,0.1,0.04,4,0.4,1,100,0.1,40,160,12,0.4,2,0.01,80,12
"Syrnet melk, Kefir, med smak, Q-meieriene",100,87,254,60,1.8,1.3,0.07,0.19,0.54,0.21,0,0.5,0.03,0.39,0.1,0.03,0.01,0,0,0,0,0,0,0,0.01,0.04,3,7.9,0,7.9,4,0,3.1,0.1,0,3,3,2,1,0,0.03,0.13,0.1,0.04,3,0.5,0,110,0,40,162,8,0.3,1,0.01,95,14
"Syrnet melk, Kulturmjølk",100,90,222,53,2.6,1.6,0.08,0.26,0.74,0.27,0.1,0.6,0.06,0.53,0.1,0.04,0.01,0,0,0,0,0,0,0,0.01,0.01,6,4.4,0,4.4,0,0,3,0.1,0,36,35,18,0,0.1,0.05,0.15,0.1,0.04,5,0.5,0,120,0.1,40,174,12,0.5,2,0,87,16
"Syrnet melk, naturell, Biola",100,91,170,40,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.8,0,4.8,0,0,3,0.1,0,15,15,6,0.9,0,0.05,0.15,0.1,0.04,5,0.5,0,115,0.1,40,170,13,0.5,2,0,97,16
"Syrnet melk, rødbete/eple/lime, Biola",100,90,196,46,0.9,0.6,0.03,0.09,0.25,0.09,0,0.2,0.02,0.18,0,0.01,0,0,0,0,0,0,0,0,0,0,2,6.5,0.1,6.4,1.4,0,3,0.1,0,14,14,5,0.8,0,0.05,0.14,0.1,0.04,5,0.5,0,100,0.1,40,160,12,0.4,2,0,80,12
"Syrnet melk, Skumma Kulturmjølk",100,92,139,33,0.4,0.3,0.01,0.04,0.11,0.04,0,0.1,0.01,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,1,4.1,0,4.1,0,0,3.2,0.1,0,4,4,2,0,0,0.04,0.15,0,0.04,0,0.5,0,115,0,40,171,10,0.4,1,0,100,16
"Syrnet melk, økologisk, Kefir, Tine",100,90,230,55,3,2,0.11,0.34,0.86,0.28,0.1,0.6,0.07,0.52,0.1,0.05,0.01,0,0,0,0,0,0,0,0.02,0.02,8,4,0,4,0,0,3,0.1,0,13,12,16,0,0.1,0,0.15,0.1,0.04,11,0.3,0,120,0.1,40,171,12,0.4,3,0,100,16
"Skyr, banan",100,82,314,74,0.2,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,3.8,0,10,0.1,0,0,0,0,0,0,0.02,0.14,0.3,0.06,0,0.7,1,97,0,50,110,13,0.5,0,0,140,13
"Skyr, bringebær",100,87,228,54,0.2,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,9,0.1,0,0,0,0,0,0,0.02,0.11,0.3,0.05,0,0.1,1,87,0,50,110,13,0.5,0,0,140,11
"Skyr, med smak, kunstig søtet",100,86,248,58,0.2,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,10,0.1,0,0,0,0,0,0,0.02,0.14,0.3,0.06,0,0.9,1,97,0,50,110,13,0.5,0,0,140,13
"Syrnet, tyknet havreprodukt",100,84,319,76,2.4,0.2,0,0,0.17,0.03,0,1.3,0,1.29,0.7,0.57,0.15,0,0,0,0,0,0,0,0.15,0.57,0,11.7,7.7,4,0,1,1.5,0.1,0,0,0,0,1.1,0,0,0.29,0,0,9,0.4,0,120,0,29,44,6,0.1,0,0,47,23
"Yoghurt, blåbær, 0 % fett, Yoplait",100,88,192,45,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,5.5,0,2,4,0.1,0,2,2,4,0,0,0.04,0.15,0.1,0.03,4,0.4,1,135,0.1,40,190,13,0.5,2,0,98,15
"Yoghurt, jordbær, Q-meieriene",100,85,302,72,2.7,1.8,0.1,0.29,0.8,0.31,0.1,0.7,0.04,0.58,0.1,0.04,0.01,0,0,0,0,0,0,0,0.01,0.06,6.9,7.5,0.4,7.1,3.5,0,4.4,0.1,0,37,35,18,0,0.1,0.05,0.14,0.1,0.04,3,0.4,0,117,0.1,40,198,14,0.5,2,0.01,102,17
"Yoghurt, jordbær, Tine",100,82,361,86,3.1,1.9,0.09,0.31,0.87,0.32,0.1,0.7,0.07,0.62,0.1,0.04,0.01,0,0,0,0,0,0,0,0.01,0.01,8,10.5,0.2,10.3,5,0,4,0.1,0,37,35,18,0,0.1,0.05,0.15,0.1,0.03,3,0.4,0,140,0.1,47,198,14,0.5,2,0.01,102,17
"Yoghurt, med müsli og skogsbær, Go Morgen",100,75,493,117,3.4,2.2,0.1,0.34,0.96,0.35,0.1,0.8,0.08,0.69,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,8,17.1,6.1,11,5.2,1,4,0.1,0,33,31,20,0,0.1,0.04,0.14,0.1,0.03,3,0.4,0,125,0.1,40,175,12,0.5,2,0.01,91,15
"Yoghurt, naturell",100,87,289,69,3.4,2.2,0.1,0.34,0.97,0.36,0.1,0.8,0.08,0.7,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,8,5.6,0,5.6,0,0,4,0.1,0,41,39,20,0,0.1,0.05,0.17,0.1,0.04,4,0.5,0,160,0.1,50,221,16,0.6,2,0,114,16
"Yoghurt, naturell, laktosefri",100,87,284,68,3.4,2.2,0.1,0.34,0.97,0.36,0.1,0.8,0.08,0.7,0.1,0.05,0.01,0,0,0,0,0,0,0,0.01,0.01,8,5.3,0,5.3,0,0,4,0.1,0,41,39,20,0,0.1,0.05,0.17,0.1,0.04,4,0.5,0,160,0.1,50,191,13,0.5,1,0,114,16
"Yoghurt, naturell, økologisk",100,87,289,69,3.4,2.3,0.12,0.39,0.99,0.32,0.1,0.7,0.07,0.59,0.1,0.06,0.02,0,0,0,0,0,0,0,0.02,0.02,9,5.6,0,5.6,0,0,4,0.1,0,15,13,19,0,0.1,0.05,0.17,0.1,0.04,4,0.5,0,160,0.1,50,221,16,0.6,2,0,114,19
"Yoghurt, vanilje",100,85,300,71,2.6,1.8,0.09,0.28,0.77,0.3,0.1,0.7,0.04,0.56,0.1,0.04,0.01,0,0,0,0,0,0,0,0.01,0.05,6.7,7.5,0.4,7.1,3.8,0,4.5,0.1,0,41,39,20,0,0.1,0.05,0.14,0.1,0.04,4,0.4,0,119,0.1,40,221,16,0.6,2,0,114,16
"Yoghurt, vanilje, 0 % fett, Yoplait",100,88,191,45,0.1,0.1,0,0.01,0.03,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,5.8,0,1,4.5,0.1,0,2,2,4,0,0,0.05,0.16,0.1,0.04,5,0.5,1,150,0.1,50,214,15,0.6,2,0,111,17
"Yoghurt, vanilje, laktosefri",100,83,344,82,3,1.9,0.09,0.31,0.86,0.32,0.1,0.7,0.07,0.62,0.1,0.04,0.01,0,0,0,0,0,0,0,0.01,0.01,8,9.7,0,9.7,4.6,0,4,0.1,0,36,35,17,0,0.1,0.04,0.15,0.1,0.03,3,0.4,0,140,0.1,40,187,13,0.5,2,0,101,16
"Crème Fraîche, 35 % fett",100,60,1378,335,35,22.2,1.05,3.5,9.91,3.64,1,8.4,0.8,7.14,0.8,0.49,0.14,0,0,0,0,0,0,0,0.14,0.14,86,2.9,0,2.9,0,0,2,0.1,0,505,488,206,0.2,0.8,0.03,0.15,0,0.02,4,0.2,0,80,0,30,97,6,0.2,1,0,53,17
Dessert-topping på boks,100,66,1075,260,25,21.3,11.01,3.38,1.79,3.54,0,1.9,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,7.3,7.3,0,1.5,2.2,0,,,0,,,,,,,,0,0,160,,880,440,,,,,0,1
"Husholdningshvitt, flytende",100,88,368,89,8.2,1.3,3.67,1.13,0.6,1.18,0,1.8,0,0.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,2.9,2.9,0,0.9,1.3,0,,,0,,,,,,,,0,0,160,,530,500,,,,,0,1
"Kaffefløte, 10 % fett",100,83,491,118,10,6.3,0.3,1,2.83,1.04,0.3,2.4,0.23,2.04,0.2,0.14,0.04,0,0,0,0,0,0,0,0.04,0.04,25,4.1,0,4.1,0,0,3,0.1,0,144,139,59,0.1,0.2,0.04,0.15,0.1,0.03,5,0.4,0,119,0.1,40,157,11,0.4,2,0,80,17
Kaffehvitt,100,85,442,107,10.2,8.6,4.5,1.38,0.73,1.45,0,0.8,0,0.12,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,2.9,2.9,0,0.9,1.3,0,,,0,,,,,,,,0,0,160,,530,500,,,,,0,1
"Kaffehvitt, pulver, Coffeemate",100,6,2286,548,34.5,26,1.18,3.59,9.43,3.75,0,7.5,0.47,7.18,0,0.57,0.14,0,0.02,0.01,0.03,0.02,0.02,0,0.2,0.67,2,57.3,47.9,9.4,0,0,2.1,1,0,17,0,200,0,0.6,0,1,0,0,0,0,0,4,1.2,400,900,4,0.5,1,0.12,350,1
"Krem, pisket, på boks",100,60,1340,325,33,20.9,0.99,3.3,9.34,3.43,1,8,0.76,6.73,0.7,0.46,0.13,0,0,0,0,0,0,0,0.13,0.13,81,5,0,5,2,0,2,0.1,0,148,132,194,0,0.8,0.03,0.14,0,0.02,4,0.2,0,80,0,30,98,6,0.2,1,4,53,12
"Kremfløte, 37 % fett",100,58,1452,353,37,23.4,1.11,3.7,10.47,3.85,1.1,8.9,0.85,7.55,0.8,0.52,0.15,0,0,0,0,0,0,0,0.15,0.15,91,2.9,0,2.9,0,0,2,0.1,0,352,334,217,0,0,0,0.2,0,0,0,0.4,0,0,0,30,0,0,0,2,0,90,10
"Kremfløte, 37 % fett, laktosefri",100,58,1452,353,37,23.5,1.11,3.71,10.49,3.85,1.1,8.9,0.85,7.56,0.8,0.52,0.15,0,0,0,0,0,0,0,0.15,0.15,91,2.9,0,2.9,0,0,2,0.1,0,535,517,218,0.2,0.9,0.03,0.15,0,0.02,4,0.2,0,76,0,30,92,5,0.2,1,0.09,51,12
"Kvarg, 1 % fett, Kesam",100,85,280,66,1,0.6,0.03,0.1,0.28,0.1,0,0.2,0.02,0.2,0,0.01,0,0,0,0,0,0,0,0,0,0,2,4.3,0,4.3,0,0,10,0.1,0,4,4,5,0,0,0,0.18,0.1,0.05,26,0.8,0,125,0,34,150,13,0.6,4,0.02,145,14
"Kvarg, 7 % fett, Kesam",100,82,450,108,7.1,4.5,0.21,0.71,2.01,0.74,0.2,1.7,0.16,1.45,0.2,0.1,0.03,0,0,0,0,0,0,0,0.03,0.03,17,4,0,4,2.5,0,7,0.1,0,32,29,42,0,0.2,0,0.2,0.1,0,26,0.8,0,133,0,34,140,12,0.6,3,0.02,150,16
"Lettrømme, 10 % fett",100,83,491,118,10,6.3,0.3,1,2.83,1.04,0.3,2.4,0.23,2.04,0.2,0.14,0.04,0,0,0,0,0,0,0,0.04,0.04,25,4.1,0,4.1,0,0,3,0.1,0,44,39,59,0.1,0.2,0.04,0.1,0.1,0.03,5,0.4,0,119,0.1,30,156,11,0.4,2,0,79,17
"Lettrømme, 18 % fett",100,75,780,189,18,11.4,0.54,1.8,5.09,1.87,0.5,4.3,0.41,3.67,0.4,0.25,0.07,0,0,0,0,0,0,0,0.07,0.07,44,3.7,0,3.7,0,0,3,0.1,0,259,250,106,0.1,0.4,0.04,0.15,0.1,0.03,5,0.4,0,105,0,30,138,9,0.3,2,0,71,16
"Lettrømme, 18 % fett, økologisk",100,75,780,189,18,12,0.65,2.06,5.18,1.67,0.5,3.8,0.39,3.1,0.4,0.32,0.09,0,0,0,0,0,0,0,0.09,0.09,49,3.7,0,3.7,0,0,3,0.1,0,258,250,97,0.1,0.4,0.04,0.15,0.1,0.03,5,0.4,0,105,0,30,138,9,0.3,2,0,71,16
"Matfløte, 18 % fett",100,75,780,189,18,11.4,0.54,1.8,5.1,1.87,0.5,4.3,0.41,3.67,0.4,0.25,0.07,0,0,0,0,0,0,0,0.07,0.07,44,3.7,0,3.7,0,0,3,0.1,0,260,251,106,0.1,0.4,0.04,0.15,0.1,0.03,5,0.4,0,104,0,30,133,9,0.3,2,0,71,14
"Matlagingsprodukt, av havre, 13 % fett",100,79,605,146,12.8,1,0,0,0.06,0.31,,7.7,0.02,7.52,3.3,2.43,0.91,,,,0,0,0,0,0.91,2.43,0,6.7,3.5,3.2,0,1,0.7,0.1,0,0,0,0,0,0,0.02,0,0,0,7,0,0,18,0,48,31,4,0,0,,26,0
"Matlagingsprodukt, av soya, 17 % fett",100,76,767,186,17.5,1.8,0.02,0.02,0.99,0.56,0,3.5,0.01,3.44,8.8,8.59,0.18,0,0,0,0,0,0,0,0.29,8.59,0,4.1,0.4,3.7,1.2,0,2.9,0.1,0,0,0,0,0,16.4,0.03,0,0,0.02,11,0,0,11,0.3,55,72,13,0.2,0,0.1,43,1
"Matlagingsprodukt, whipping",100,91,319,78,8.3,7.1,3.67,1.13,0.6,1.18,0,0.6,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.8,0,0,0,0,0,8.4,0,0,0,0,0,0,0,180,0.1,700,150,0,0,0,0,0,1
"Rømmedressing, med urter",100,80,564,136,11.8,7.3,0.33,1.01,2.82,1.1,0.5,3.2,0.14,3.23,0.2,0.57,0.2,0,0.01,0,0.01,0,0.01,0,0.23,0.59,36,4.7,0,4.7,0,0,2.8,0.8,0,140,129,131,0.2,0.3,0.04,0.13,0.1,0.02,10,0.2,0,110,0,306,159,95,0.3,1,0,78,9
"Seterrømme, 35 % fett",100,60,1378,335,35,22.2,1.05,3.5,9.91,3.64,1,8.4,0.8,7.14,0.8,0.49,0.14,0,0,0,0,0,0,0,0.14,0.14,86,2.9,0,2.9,0,0,2,0.1,0,505,488,206,0.2,0.8,0.03,0.15,0,0.02,4,0.2,0,80,0,30,97,6,0.2,1,0,53,13
"Syrnet havreprodukt til matlaging, 15 % fett",100,72,774,187,15.7,1.3,0,0,1.01,0.21,0,8.9,0.03,8.74,4.6,3.48,1.08,0,0,0,0,0,0,0,1.08,3.48,0,10.1,7.3,2.8,,1,0.8,0,0,0,0,0,0,0,0.04,0,0,0,12,0,0,120,0,0,45,0,0.1,0,,25,0
"Brie, hvitmuggost",100,50,1490,360,32,20.3,0.96,3.2,9.06,3.33,1,7.7,0.74,6.53,0.7,0.45,0.13,0,0,0,0,0,0,0,0.13,0.13,79,0,0,0,0,0,18,1.5,0,305,289,188,0,0.8,0.06,0.31,1.1,0.13,48,1.6,0,500,0.1,600,86,21,2.9,10,0.02,370,43
